Title,Authors,Year,Venue,DOI
Access to research data in the 21st century: An ongoing dialogue among interested parties: Report of a workshop,"['National Research Council', 'Global Affairs', 'Law Panel']",2002,NA,https://books.google.com/books?hl=en&lr=&id=SSptER4v6DwC&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=nCLC72BH21&sig=d9gAQaN2g7g-Y7DYrPwFQNV0Kfo
Losing Count: The Federal Statistical System. Population Trends and Public Policy Occasional Paper Number 16.,['KK Wallman'],1988,NA,https://eric.ed.gov/?id=ED303406
Federal drug data for national policy,"['JJ Collins', 'MW Zawitz']",1990,NA,https://books.google.com/books?hl=en&lr=&id=f_IrMgxXygEC&oi=fnd&pg=PA3&dq=Federal+Statistical+Research+Data+Centers&ots=h0zEEHQI91&sig=7OH_eK_me40wmCiewHatLkBfAP8
Trends in worldwide ICT electricity consumption from 2007 to 2012,"['W Van Heddeghem', 'S Lambert', 'B Lannoo']",2014,Computer …,https://www.sciencedirect.com/science/article/pii/S0140366414000619
Investing in a data quality research program for administrative data linked to survey data for policy research purposes is essential,"['M Davern', 'M Roemer', 'W Thomas']",2009,… Statistical Methodology Research …,https://nces.ed.gov/FCSM/pdf/2009FCSM_Davern_IX-A.pdf
"Revolution in United States Government Statistics, 1926-1976: Written by Joseph W. Duncan and William C. Shelton",['JW Duncan'],1978,NA,https://books.google.com/books?hl=en&lr=&id=kk2QpNvYDzsC&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=B6xCQIezp2&sig=R93jAFJuhhhzF3Pfc-2-5ATa1vE
Monitoring changes in health care for children and families,"['P Newacheck', 'B Starfield']",1995,… Federal Statistics on Children: Report …,https://books.google.com/books?hl=en&lr=&id=in5OAgAAQBAJ&oi=fnd&pg=PT164&dq=Federal+Statistical+Research+Data+Centers&ots=rOng3B4yrB&sig=o0IoZBScofLyzHeg38h5sDNCe0k
Safeguarding Research Using Federal Health Insurance Data,['L William'],NA,NA,N/A
A Peer Review of the Swiss Statistical System,"['IP Fellegi', 'J Ryten']",2000,NA,https://www.paris21.org/sites/default/files/swiss-peer-review.pdf
Meeting the need for state‐level estimates of health insurance coverage: use of State and Federal Survey Data,"['LA Blewett', 'M Davern']",2006,Health Services Research,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-6773.2006.00543.x
Carbon-aware online control of geo-distributed cloud services,"['Z Zhou', 'F Liu', 'R Zou', 'J Liu', 'H Xu']",2015,IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/7345588/
Frontiers in massive data analysis,"['', 'Committee on the Analysis of Massive Data']",2013,NA,https://books.google.com/books?hl=en&lr=&id=lQB1AgAAQBAJ&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=Q1d1I38IQq&sig=75vBhnN7aSmibqMUR-u3iSTufX0
Will The Federal Data Strategy Help Communities WIN?,"['S Saha', 'BB Cohen', 'RL Phillips Jr']",2019,Health Affairs Forefront,https://www.healthaffairs.org/content/forefront/federal-data-strategy-help-communities-win
A statistical analysis of trade secret litigation in federal courts,"['DS Almeling', 'DW Snyder', 'M Sapoznikow']",2009,Gonz. L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/gonlr45&section=13
An exploratory sequential mixed methods approach to understanding researchers' data management practices at UVM: Integrated findings to develop research data …,['EA Berman'],2017,NA,https://scholarworks.uvm.edu/libfacpub/51/
The relationship between early childhood blood lead levels and performance on end-of-grade tests,"['ML Miranda', 'D Kim', 'MAO Galeano']",2007,Environmental …,https://ehp.niehs.nih.gov/doi/abs/10.1289/ehp.9994
"National surveillance for asthma—United States, 1980–2004",[''],2007,MMWR Surveill …,https://www.cdc.gov/mmWR/preview/mmwrhtml/ss5608a1.htm
The datacenter as a computer: Designing warehouse-scale machines,"['LA Barroso', 'U Hölzle', 'P Ranganathan']",2019,NA,https://library.oapen.org/handle/20.500.12657/61844
Adjusting health expenditures for inflation: a review of measures for health services research in the United States,"['A Dunn', 'SD Grosse', 'SH Zuvekas']",2018,Health services research,https://onlinelibrary.wiley.com/doi/abs/10.1111/1475-6773.12612
Health and access to care during the first 2 years of the ACA Medicaid expansions,"['S Miller', 'LR Wherry']",2017,New England Journal of Medicine,https://www.nejm.org/doi/abs/10.1056/NEJMsa1612890
Organization and information processing: Elements of a history of early digitization in the Swiss Federal Administration,['G Koller'],2018,Administration & Society,https://journals.sagepub.com/doi/abs/10.1177/0095399718793103
Applied survey data analysis,"['SG Heeringa', 'B West', 'SG Heeringa', 'PA Berglund']",2017,NA,https://www.taylorfrancis.com/books/mono/10.1201/9781315153278/applied-survey-data-analysis-steven-heeringa-patricia-berglund-brady-west-steve-heeringa-patricia-berglund
Providing access to confidential research data through synthesis and verification: An application to data on employees of the US federal government,"['AF Barrientos', 'A Bolton', 'T Balmat', 'JP Reiter']",2018,NA,https://projecteuclid.org/journals/annals-of-applied-statistics/volume-12/issue-2/Providing-access-to-confidential-research-data-through-synthesis-and-verification/10.1214/18-AOAS1194.short
STEM Attrition: College Students' Paths into and out of STEM Fields. Statistical Analysis Report. NCES 2014-001.,['X Chen'],2013,National Center for Education Statistics,https://eric.ed.gov/?id=ED544470
University research centers and the composition of research collaborations,"['PC Boardman', 'EA Corley']",2008,Research Policy,https://www.sciencedirect.com/science/article/pii/S0048733308000395
Statistical Policy Working Paper 21-Indirect Estimators in Federal Programs,['S Policy'],1993,STATISTICAL METHODOLOGY,https://rosap.ntl.bts.gov/view/dot/72808
US Climate Reference Network after one decade of operations: Status and assessment,"['HJ Diamond', 'TR Karl', 'MA Palecki']",2013,Bulletin of the …,https://journals.ametsoc.org/view/journals/bams/94/4/bams-d-12-00170.1.xml
Identifying the security risks associated with governmental use of cloud computing,"['S Paquette', 'PT Jaeger', 'SC Wilson']",2010,Government information quarterly,https://www.sciencedirect.com/science/article/pii/S0740624X10000225
The conundrum of sharing research data,['CL Borgman'],2012,Journal of the American Society for Information …,https://asistdl.onlinelibrary.wiley.com/doi/abs/10.1002/asi.22634
"Health services research and data linkages: issues, methods, and directions for the future","['CJ Bradley', 'L Penberthy', 'KJ Devers']",2010,… services research,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-6773.2010.01142.x
URSI handbook of ionogram interpretation and reduction,"['WR Piggott', 'K Rawer']",1972,NA,https://repository.library.noaa.gov/view/noaa/1013/noaa_1013_DS1.pdf
CDC growth charts: United States,['RJ Kuczmarski'],2000,NA,https://books.google.com/books?hl=en&lr=&id=KZkKtw0WRjAC&oi=fnd&pg=PA16&dq=Federal+Statistical+Research+Data+Centers&ots=bMQmNPZy8s&sig=gtT7N1-Pv6q9QhrEEYeh44AYRFM
Integrating measurements of disability in federal surveys; seminar proceedings: documents and committee reports,['MG Sirken'],2002,NA,https://stacks.cdc.gov/view/cdc/6452
Fog and IoT: An overview of research opportunities,"['M Chiang', 'T Zhang']",2016,IEEE Internet of things journal,https://ieeexplore.ieee.org/abstract/document/7498684/
Reproducibility and replicability in economics,['L Vilhuber'],2020,Harvard Data Science Review,https://assets.pubpub.org/lvy9ni0m/61607962727447.pdf
The federal data base finder: A directory of free and fee-based data bases and files available from the federal government: 1984–1985 Edition. By Sharon …,['CT Loranz'],1985,Government Information Quarterly,N/A
Diskette data from federal agencies,['S Anderson'],1987,Government Publications Review,https://www.sciencedirect.com/science/article/pii/0277939087900689
Opioid prescriptions in older Medicare beneficiaries after the 2014 federal rescheduling of hydrocodone products,"['YF Kuo', 'MA Raji', 'V Liaw', 'J Baillargeon']",2018,Journal of the …,https://agsjournals.onlinelibrary.wiley.com/doi/abs/10.1111/jgs.15332
Older Americans 2008: Key indicators of well-being,['Federal Interagency Forum on Aging-Related Statistics '],2008,NA,https://books.google.com/books?hl=en&lr=&id=QXdzVa1NH2oC&oi=fnd&pg=PA78&dq=Federal+Statistical+Research+Data+Centers&ots=-OIm0n6cIi&sig=OR62oxW5QSBWK58OiSYo0YUBMIw
The Role of the Joint Program in Survey Methodology in Training US Federal Statisticians,"['R Valliant', 'R Tourangeau', 'J Lent']",2010,Journal of Official Statistics,https://www.researchgate.net/profile/Richard-Valliant/publication/295149849_The_Role_of_the_Joint_Program_in_Survey_Methodology_in_Training_US_Federal_Statisticians/links/571e139508aeaced7889d7cb/The-Role-of-the-Joint-Program-in-Survey-Methodology-in-Training-US-Federal-Statisticians.pdf
Federally qualified health centers and private practice performance on ambulatory care measures,"['LE Goldman', 'PW Chu', 'H Tran', 'MJ Romano']",2012,American journal of …,https://www.sciencedirect.com/science/article/pii/S0749379712002875
A student's guide to American Federal Government statistics,['JE Morton'],1972,Journal of Economic Literature,https://www.jstor.org/stable/2721462
Industry-university cooperative research centers,"['JD Adams', 'EP Chiang', 'K Starkey']",2001,The Journal of Technology Transfer,https://link.springer.com/article/10.1023/A:1007836328722
"Estimating the incidence, causes, and consequences of interpersonal violence for children and families","['C Loftin', 'JA Mercy']",1995,… Federal Statistics on Children: Report of a …,https://books.google.com/books?hl=en&lr=&id=DgGdAgAAQBAJ&oi=fnd&pg=PA192&dq=Federal+Statistical+Research+Data+Centers&ots=heF1w-l6i8&sig=UWYVivqvpVRr94F3T8RD62ldeP4
"Asthma surveillance—United States, 2006–2018",['CA Pate'],2021,MMWR. Surveillance Summaries,https://www.cdc.gov/mmwr/volumes/70/ss/ss7005a1.htm
"Big data: related technologies, challenges and future prospects","['M Chen', 'S Mao', 'Y Zhang', 'VCM Leung']",2014,NA,https://link.springer.com/content/pdf/10.1007/978-3-319-06245-7.pdf
Digest of education statistics,"['', 'Improvement. Center for Education Statistics']",2010,NA,https://books.google.com/books?hl=en&lr=&id=n-lEgAb9e0wC&oi=fnd&pg=PR7&dq=Federal+Statistical+Research+Data+Centers&ots=EE2HKCEmnO&sig=1RYrPNzesV5q4poxPsc3ta5qX1g
Power provisioning for a warehouse-sized computer,"['X Fan', 'WD Weber', 'LA Barroso']",2007,ACM SIGARCH computer architecture …,https://dl.acm.org/doi/abs/10.1145/1273440.1250665
Infrastructure anomaly detection: A cloud-native architecture at Germany's Federal Employment Agency,"['G Herget', 'E Sultanow', 'A Chircu', 'J Ludsteck', 'S Hammer']",2022,INFORMATIK 2022,https://dl.gi.de/items/078d7a5d-5110-4a80-95f0-552b6e99f413
The federal big data research and development strategic plan,['Big Data Senior Steering Group'],2016,NA,https://digitalcommons.unl.edu/scholcom/20/
An overview of the global historical climatology network-daily database,"['MJ Menne', 'I Durre', 'RS Vose']",2012,… of atmospheric and …,https://journals.ametsoc.org/view/journals/atot/29/7/jtech-d-11-00103_1.xml
Using—and Improving—Federal Student Aid Data Systems to Support Policy Analysis,"['M Soldner', 'C Campbell']",2017,Resource document. Institute for Higher Education …,https://www.air.org/sites/default/files/2021-06/Using-and-Improving-FSA-Data-Systems-for-Policy-Analysis-May-2016_0.pdf
The under detection of rape: Methodological choices influence incidence estimates,['MP Koss'],1992,Journal of social issues,https://spssi.onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-4560.1992.tb01157.x
Statistical Data Integration for Health Policy Evidence-Building,"['SM Paddock', 'C Franco', 'FJ Breidt']",2024,… Review of Statistics …,https://www.annualreviews.org/content/journals/10.1146/annurev-statistics-112723-034507
Centers for Disease Control and Prevention 2000 growth charts for the United States: improvements to the 1977 National Center for Health Statistics version,"['CL Ogden', 'RJ Kuczmarski', 'KM Flegal', 'Z Mei']",2002,…,https://publications.aap.org/pediatrics/article-abstract/109/1/45/79793
A Prehistory of the Cloud,['TH Hu'],2015,NA,https://books.google.com/books?hl=en&lr=&id=QQNmCgAAQBAJ&oi=fnd&pg=PR5&dq=Federal+Statistical+Research+Data+Centers&ots=NFSajRI_LR&sig=OBj-wlApx7pZkOJuYNbh9-RbnSo
A comparison of mail and e-mail for a survey of employees in US statistical agencies,"['MP Couper', 'T Triplett']",1999,Journal of official statistics,https://www.academia.edu/download/92037280/a-comparison-of-mail-and-e-mail-for-a-survey-of-employees-in-u.s.-statistical-agencies.pdf
The role of federally funded health centers in serving the rural population,"['J Regan', 'AH Schempf', 'J Yoon']",2003,The Journal of Rural …,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-0361.2003.tb00552.x
Data Enhancement and Analysis of Federal Acquisition Databases,"['ME Tudoreanu', 'R Wang', 'W Jiang']",2019,… Annual Acquisition Research …,https://calhoun.nps.edu/bitstream/handle/10945/63015/SYM-AM-19-029.pdf?sequence=1#page=462
"America's children: Key national indicators of well-being, 2017",['Federal Interagency Forum on Child'],2017,NA,https://books.google.com/books?hl=en&lr=&id=XrxR9ddTrMoC&oi=fnd&pg=PR3&dq=Federal+Statistical+Research+Data+Centers&ots=7WSB4CRluI&sig=slwAO8DP3dofiH3BRN3GAepbqiU
The National Infrastructure for Community Statistics: Liberating Public GIS and Statistical Data,"['P Sabety', 'C Sweeney', 'D Widdows', 'J Knauer']",2005,NA,https://www.puttypeg.net/papers/infocommons-ppgis.pdf
Recent trends in morbidity and in-hospital outcomes of in-patients with peripheral arterial disease: a nationwide population-based analysis,"['N Malyar', 'T Fürstenberg', 'J Wellmann']",2013,European heart …,https://academic.oup.com/eurheartj/article-abstract/34/34/2706/617842
A distributed data fabric architecture based on metadate knowledge graph,"['XC Li', 'M Yang', 'X Xia', 'K Zhang']",2022,… Conference on Data …,https://ieeexplore.ieee.org/abstract/document/9943831/
"Hospitalized cancer patients with severe sepsis: analysis of incidence, mortality, and associated costs of care","['MD Williams', 'LA Braun', 'LM Cooper', 'J Johnston']",2004,Critical care,https://link.springer.com/article/10.1186/cc2893
Teacher professionalization and teacher commitment: A multilevel analysis. Statistical analysis report,['RM Ingersoll'],1997,NA,https://books.google.com/books?hl=en&lr=&id=ubeb54CxkrIC&oi=fnd&pg=PR5&dq=Federal+Statistical+Research+Data+Centers&ots=eR-G1Lft8f&sig=6kjjeWE5Kt6pD4LcLPMR6sbKma8
USING CONTROLLED,['RJ Light'],1971,Federal Statistics; Report,https://books.google.com/books?hl=en&lr=&id=ECi2AAAAIAAJ&oi=fnd&pg=PA367&dq=Federal+Statistical+Research+Data+Centers&ots=7Oy6F9PMaq&sig=mZNyIrLjNteeqkOuvoH3kwwCbF0
Data Linkage with an Establishment Survey,"['J Sayers', 'S Campbell', 'C Thompson']",2018,… (FCSM) Research and …,https://nces.ed.gov/FCSM/pdf/G_4_Sayers_2018FCSM_FINAL.pdf
The 1998 National Spatial Data Infrastructure (NSDI) Federal Geographic Data Committee (FGDC) accomplishment report for the Department of Commerce,['GS Barton'],1999,NA,https://repository.library.noaa.gov/view/noaa/67193/noaa_67193_DS1.pdf
America's children: Key national indicators of well-being,[''],2009,NA,https://books.google.com/books?hl=en&lr=&id=zVMwApYU54EC&oi=fnd&pg=PR3&dq=Federal+Statistical+Research+Data+Centers&ots=Nb9gkA0keu&sig=wJkhRs1vAi80nJsmVJ3DjkdZ5Ms
Using battery storage for peak shaving and frequency regulation: Joint optimization for superlinear gains,"['Y Shi', 'B Xu', 'D Wang', 'B Zhang']",2017,IEEE transactions on power …,https://ieeexplore.ieee.org/abstract/document/8027056/
Life-cycle decisions for biomedical data: The challenge of forecasting costs,"['', 'Physical Sciences', 'Board on Research Data']",2020,NA,https://books.google.com/books?hl=en&lr=&id=Pkr8DwAAQBAJ&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=QAhqzDIA8P&sig=1dIxeh4Tx2Gjen3CM31n7Y4nUNk
Child development in the context of family and community resources: an agenda for national data collections,['National Research Council'],1995,Integrating Federal Statistics on …,https://www.ncbi.nlm.nih.gov/books/NBK232290/
Dryad: distributed data-parallel programs from sequential building blocks,"['M Isard', 'M Budiu', 'Y Yu', 'A Birrell', 'D Fetterly']",2007,Proceedings of the 2nd …,https://dl.acm.org/doi/abs/10.1145/1272996.1273005
Estimates of COVID-19 cases and deaths among nursing home residents not reported in federal data,"['K Shen', 'L Loomer', 'H Abrams', 'DC Grabowski']",2021,JAMA network …,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2784031
The influence of federal laboratory R&D on industrial research,"['JD Adams', 'EP Chiang', 'JL Jensen']",2003,… of Economics and Statistics,https://direct.mit.edu/rest/article-abstract/85/4/1003/57429
Preparing statisticians for careers in the federal government: Report of the asa section on statistical education committee on training of statisticians for government,"['MD Eldridge', 'KK Wallman', 'RM Wulfsberg']",1982,The American …,https://www.tandfonline.com/doi/abs/10.1080/00031305.1982.10482784
"Early coverage, access, utilization, and health effects associated with the Affordable Care Act Medicaid expansions: a quasi-experimental study","['LR Wherry', 'S Miller']",2016,Annals of internal medicine,https://www.acpjournals.org/doi/abs/10.7326/m15-2234
Adventures in social research: Data analysis using IBM SPSS statistics,"['E Babbie', 'WE Wagner III', 'J Zaino']",2022,NA,https://books.google.com/books?hl=en&lr=&id=amdjEAAAQBAJ&oi=fnd&pg=PA3&dq=Federal+Statistical+Research+Data+Centers&ots=jVQTObmkNs&sig=Y20qL3PSBpfRPtEI9Uw9WwkVIOY
Strategic roles of IT modernization and cloud migration in reducing cybersecurity risks of organizations: The case of US federal government,"['MS Pang', 'H Tanriverdi']",2022,The journal of strategic information systems,https://www.sciencedirect.com/science/article/pii/S0963868722000038
Demand response for ancillary services,"['O Ma', 'N Alkadi', 'P Cappers', 'P Denholm']",2013,IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/6630115/
What can Medicaid data add to research on VA patients?,"['A Hendricks', 'J Gardner', 'A Frakt', 'D Gilden']",2010,J Rehabil Res …,https://www.researchgate.net/profile/Lynn-Wolfsfeld/publication/49638255_What_can_Medicaid_data_add_to_research_on_VA_patients/links/0deec5177df7f55a62000000/What-can-Medicaid-data-add-to-research-on-VA-patients.pdf
statisticians' role in ensuring accuracy and integrity of federal data,['K Kafadar'],2020,Harvard Data Science Review,https://assets.pubpub.org/g1v6mbq0/e6da115e-4745-4134-b954-a32dd61656e5.pdf
The future of federal household surveys: summary of a workshop,"['JC Karberg', 'K Marton']",2011,NA,https://books.google.com/books?hl=en&lr=&id=R5XSOD0ydIMC&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=Bh5vDeQJci&sig=0pkypfWXl9SylaB3jPsDEEfeNyM
Handbook of survey research,"['PH Rossi', 'JD Wright', 'AB Anderson']",2013,NA,https://books.google.com/books?hl=en&lr=&id=8EW0BQAAQBAJ&oi=fnd&pg=PP1&dq=Federal+Statistical+Research+Data+Centers&ots=eNTR2qYlPH&sig=6ID0tXvbxXoK3MlTsUbwtitiEy8
Federal–local partnerships on immigration law enforcement: Are the policies effective in reducing violent victimization?,"['EP Baumer', 'M Xie']",2023,Criminology & public policy,https://onlinelibrary.wiley.com/doi/abs/10.1111/1745-9133.12619
"At federally funded health centers, Medicaid expansion was associated with improved quality of care","['MB Cole', 'O Galárraga', 'IB Wilson', 'B Wright']",2017,Health Affairs,https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2016.0804
The changing role of the federal government in educational research and statistics,['MA Vinovskis'],1996,History of Education Quarterly,https://www.cambridge.org/core/journals/history-of-education-quarterly/article/changing-role-of-the-federal-government-in-educational-research-and-statistics/125384AC164AEB4DB0AE15F529366F34
"Inventory of federal data systems in the United States for injury surveillance, research and prevention activities","['JL Annest', 'JM Conn', 'SP James']",1996,NA,https://stacks.cdc.gov/view/cdc/6414
The state of federal health statistics on racial and ethnic groups,['RA Hahn'],1992,Jama,https://jamanetwork.com/journals/jama/article-abstract/394420
"Changes in demographics of patients seen at federally qualified health centers, 2005-2014","['JB Nath', 'S Costigan', 'RY Hsia']",2016,JAMA internal medicine,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/2513445
The medical expenditure panel survey: a national information resource to support healthcare cost research and inform policy and practice,"['JW Cohen', 'SB Cohen', 'JS Banthin']",2009,Medical care,https://journals.lww.com/lww-medicalcare/fulltext/2009/07001/the_medical_expenditure_panel_survey__a_national.8.aspx
An empirical investigation of information technology sourcing practices: Lessons from experience,"['MC Lacity', 'LP Willcocks']",1998,MIS quarterly,https://www.jstor.org/stable/249670
Heart failure epidemiology 2000–2013: insights from the German federal health monitoring system,"['M Christ', 'S Störk', 'M Dörr', 'HJ Heppner']",2016,European journal of …,https://onlinelibrary.wiley.com/doi/abs/10.1002/ejhf.567
Self-similarity through high-variability: statistical analysis of Ethernet LAN traffic at the source level,"['W Willinger', 'MS Taqqu', 'R Sherman']",1997,… /ACM Transactions on …,https://ieeexplore.ieee.org/abstract/document/554723/
Record Linkage and Privacy: Issues in Creating New Federal Research and Statistical Information,['United States. General Accounting Office'],2001,NA,https://books.google.com/books?hl=en&lr=&id=yq0rAAAAIAAJ&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=STUZNWPUjw&sig=A8c2i1okTfY2L88eNt6FwMp6FgM
Adjudication to administration: a statistical analysis of federal district courts in the twentieth century,['DS Clark'],1981,S. cal. l. rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/scal55&section=11
Evaluating data quality for blended data using a data quality framework,"['JD Parker', 'LB Mirel', 'P Lee', 'R Mintz']",2024,Statistical Journal of …,https://journals.sagepub.com/doi/abs/10.3233/SJI-230125
Federal Policy Issues and Data Needs in Postsecondary Education. Final Report to the National Center for Education Statistics.,"['P Christoffel', 'L Rice']",1975,NA,https://eric.ed.gov/?id=ED112725
Effect of the first federally funded US antismoking national media campaign,"['T McAfee', 'KC Davis', 'RL Alexander', 'TF Pechacek']",2013,The Lancet,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(13)61686-4/fulltext?version=meter+at+null&module=meter-Links&pgtype=Blogs&contentId=&mediaId=%25%25ADID%25%25&referrer=&priority=true&action=click&contentCollection=meter-links-click&code=lancet-site
"Long-term care providers and services users in the United States: Data from the National Study of Long-Term Care Providers, 2013–2014","['L Harris-Kojetin', 'M Sengupta', 'E Park-Lee', 'R Valverde']",2016,NA,https://stacks.cdc.gov/view/cdc/157096/cdc_157096_DS1.pdf
Allocating federal funds for state programs for English language learners,"['National Research Council', 'Division of Behavioral']",2011,NA,https://books.google.com/books?hl=en&lr=&id=MSWoGapg7qgC&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=ETk1_VMY5_&sig=dvemV5HVAH8Z0XxsHDSgNbnINWE
Medication‐assisted opioid treatment prescribers in federally qualified health centers: Capacity lags in rural areas,['EB Jones'],2018,The Journal of Rural Health,https://onlinelibrary.wiley.com/doi/abs/10.1111/JRH.12260
Response rates and nonresponse in establishment surveys–BLS and Census Bureau,"['R Petroni', 'R Sigman', 'D Willimack', 'S Cohen']",2004,… Economic Statistics …,https://www.academia.edu/download/92391707/fesacp2061104.pdf
Seasonality of transportation data,"['AE Parkany', 'E Murakami']",2004,NA,https://www.researchgate.net/profile/Emily-Parkany/publication/237439278_Seasonality_of_Transportation_Data/links/558c607c08ae591c19d9fee2/Seasonality-of-Transportation-Data.pdf
Sirius: An open end-to-end voice and vision personal assistant and its implications for future warehouse scale computers,"['J Hauswald', 'MA Laurenzano', 'Y Zhang', 'C Li']",2015,Proceedings of the …,https://dl.acm.org/doi/abs/10.1145/2694344.2694347
"Changing federal strategies for supporting educational research, development, and statistics",['MA Vinovskis'],1998,NA,https://books.google.com/books?hl=en&lr=&id=hg3bsqNHDo0C&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=a_FSRDf3DZ&sig=LShSoP-RO9zYcY6WSG02-0_W3HI
"Quantitative methods for historians: A guide to research, data, and statistics",['KH Jarausch'],1991,NA,https://books.google.com/books?hl=en&lr=&id=JadX1sfwssQC&oi=fnd&pg=PR13&dq=Federal+Statistical+Research+Data+Centers&ots=vx8m0iYW4c&sig=TQoN-b1-xMCqOvzgKjhkmGXEafg
"Health, United States","['', 'National Center for Health Services Research']",2011,NA,https://books.google.com/books?hl=en&lr=&id=DrB6lZCo_AwC&oi=fnd&pg=PA2&dq=Federal+Statistical+Research+Data+Centers&ots=jwFWp6MXy_&sig=8WPk7wncwn6LUaDJlZo8p-1_pn4
Performance by design: computer capacity planning by example,"['DA Menasce', 'VAF Almeida', 'L Dowdy']",2004,NA,https://books.google.com/books?hl=en&lr=&id=sxE931Medm4C&oi=fnd&pg=PA3&dq=Federal+Statistical+Research+Data+Centers&ots=zCcAVaQlPn&sig=XYMA_IHL5LxJeMq-cZVI4YT56LY
Socioeconomic risk factors for fatal opioid overdoses in the United States: Findings from the Mortality Disparities in American Communities Study (MDAC),"['SF Altekruse', 'CM Cosgrove', 'WC Altekruse']",2020,PloS one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0227966
"Funding of US biomedical research, 2003-2008","['ER Dorsey', 'J De Roulet', 'JP Thompson', 'JI Reminick']",2010,Jama,https://jamanetwork.com/journals/jama/article-abstract/185198
"Big Data Research and Development Initiative (Federal, US)","['F Zhao', 'S Iacono']",2022,Encyclopedia of Big Data,https://link.springer.com/content/pdf/10.1007/978-3-319-32010-6_241.pdf
The condition of education,['National Center for Educational Statistics'],2009,NA,https://books.google.com/books?hl=en&lr=&id=9O6lyhjQIw8C&oi=fnd&pg=PR3&dq=Federal+Statistical+Research+Data+Centers&ots=3AZuykXCAq&sig=gLRdSJRBoZ5RKkumQzJOraAztao
Personal privacy in the computer age: The challenge of a new technology in an information-oriented society,['AR Miller'],1968,Mich. L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/mlr67&section=76
Measuring inappropriate medical diagnosis and treatment in survey data: The case of ADHD among school-age children,"['WN Evans', 'MS Morrill', 'ST Parente']",2010,Journal of health economics,https://www.sciencedirect.com/science/article/pii/S0167629610000962
Federal business information in electronic formats,['D Arrigona'],1988,RQ,https://go.gale.com/ps/i.do?id=GALE%7CA6389300&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00337072&p=AONE&sw=w
Lifetime likelihood of going to state or federal prison,"['TP Bonczar', 'AJ Beck']",1997,NA,https://books.google.com/books?hl=en&lr=&id=cnl1dEl8LT0C&oi=fnd&dq=Federal+Statistical+Research+Data+Centers&ots=CVe6tGEc6H&sig=3VHdGzJ6Lih_IYnV9hY-Iqm05-s
Nationwide in-hospital mortality following pancreatic surgery in Germany is higher than anticipated,"['U Nimptsch', 'C Krautz', 'GF Weber', 'T Mansky']",2016,Annals of …,https://journals.lww.com/annalsofsurgery/fulltext/2016/12000/Nationwide_In_hospital_Mortality_Following.32.aspx
Federal Drug Sentencing and the Overdose Epidemic,"['B Feldmeyer', 'B Holmes', 'D Sun']",2024,American Journal of Criminal Justice,https://link.springer.com/article/10.1007/s12103-024-09773-9
Health: United States 1975,[],1976,NA,https://books.google.com/books?hl=en&lr=&id=DvtNRXh3rZ8C&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=m513s0iYNm&sig=zT-rD6PH8uNQslunw3-XXEWPLBg
Effect of hospital volume on in-hospital morbidity and mortality following pancreatic surgery in Germany,"['C Krautz', 'U Nimptsch', 'GF Weber', 'T Mansky']",2018,Annals of …,https://journals.lww.com/annalsofsurgery/fulltext/2018/03000/Effect_of_Hospital_Volume_on_In_hospital_Morbidity.3.aspx
Policy analysis and recommendations for the DCM research data exchange.,"['A Brecher', 'J Hassol', 'S Sloan']",2012,NA,https://rosap.ntl.bts.gov/view/dot/25766
The Status of Federal Libraries and Information Centers in the United States: Results from the 1994 Federal Libraries and Information Centers Survey,"['EK Hawkins', 'RJ Rossi']",1998,NA,https://books.google.com/books?hl=en&lr=&id=TAZ3Mn53lp0C&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=9YOEtFOj7B&sig=h7fnWQ_bQ4S5BcPC15WSDOC8Y8I
